Introducing contestants...
* Player 1, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
* Player 2, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
cycle 205, carriage 0, op_code 11, car pos 136

cycle 206, carriage 1, op_code 11, car pos 2184
cycle 206, carriage 0, op_code 11, car pos 136

cycle 207, carriage 1, op_code 11, car pos 2184
cycle 207, carriage 0, op_code 11, car pos 136

cycle 208, carriage 1, op_code 11, car pos 2184
cycle 208, carriage 0, op_code 11, car pos 136

cycle 209, carriage 1, op_code 11, car pos 2184
cycle 209, carriage 0, op_code 11, car pos 136

cycle 210, carriage 1, op_code 11, car pos 2184
cycle 210, carriage 0, op_code 11, car pos 136

cycle 211, carriage 1, op_code 11, car pos 2184
cycle 211, carriage 0, op_code 11, car pos 136

cycle 212, carriage 1, op_code 11, car pos 2184
cycle 212, carriage 0, op_code 11, car pos 136

cycle 213, carriage 1, op_code 11, car pos 2184
cycle 213, carriage 0, op_code 11, car pos 136

cycle 214, carriage 1, op_code 11, car pos 2184
cycle 214, carriage 0, op_code 11, car pos 136

cycle 215, carriage 1, op_code 11, car pos 2184
cycle 215, carriage 0, op_code 11, car pos 136

cycle 216, carriage 1, op_code 11, car pos 2191
cycle 216, carriage 0, op_code 11, car pos 143

cycle 217, carriage 1, op_code 11, car pos 2191
cycle 217, carriage 0, op_code 11, car pos 143

cycle 218, carriage 1, op_code 11, car pos 2191
cycle 218, carriage 0, op_code 11, car pos 143

cycle 219, carriage 1, op_code 11, car pos 2191
cycle 219, carriage 0, op_code 11, car pos 143

cycle 220, carriage 1, op_code 11, car pos 2191
cycle 220, carriage 0, op_code 11, car pos 143

cycle 221, carriage 1, op_code 11, car pos 2191
cycle 221, carriage 0, op_code 11, car pos 143

cycle 222, carriage 1, op_code 11, car pos 2191
cycle 222, carriage 0, op_code 11, car pos 143

cycle 223, carriage 1, op_code 11, car pos 2191
cycle 223, carriage 0, op_code 11, car pos 143

cycle 224, carriage 1, op_code 11, car pos 2191
cycle 224, carriage 0, op_code 11, car pos 143

cycle 225, carriage 1, op_code 11, car pos 2191
cycle 225, carriage 0, op_code 11, car pos 143

cycle 226, carriage 1, op_code 11, car pos 2191
cycle 226, carriage 0, op_code 11, car pos 143

cycle 227, carriage 1, op_code 11, car pos 2191
cycle 227, carriage 0, op_code 11, car pos 143

cycle 228, carriage 1, op_code 11, car pos 2191
cycle 228, carriage 0, op_code 11, car pos 143

cycle 229, carriage 1, op_code 11, car pos 2191
cycle 229, carriage 0, op_code 11, car pos 143

cycle 230, carriage 1, op_code 11, car pos 2191
cycle 230, carriage 0, op_code 11, car pos 143

cycle 231, carriage 1, op_code 11, car pos 2191
cycle 231, carriage 0, op_code 11, car pos 143

cycle 232, carriage 1, op_code 11, car pos 2191
cycle 232, carriage 0, op_code 11, car pos 143

cycle 233, carriage 1, op_code 11, car pos 2191
cycle 233, carriage 0, op_code 11, car pos 143

cycle 234, carriage 1, op_code 11, car pos 2191
cycle 234, carriage 0, op_code 11, car pos 143

cycle 235, carriage 1, op_code 11, car pos 2191
cycle 235, carriage 0, op_code 11, car pos 143

cycle 236, carriage 1, op_code 11, car pos 2191
cycle 236, carriage 0, op_code 11, car pos 143

cycle 237, carriage 1, op_code 11, car pos 2191
cycle 237, carriage 0, op_code 11, car pos 143

cycle 238, carriage 1, op_code 11, car pos 2191
cycle 238, carriage 0, op_code 11, car pos 143

cycle 239, carriage 1, op_code 11, car pos 2191
cycle 239, carriage 0, op_code 11, car pos 143

cycle 240, carriage 1, op_code 11, car pos 2191
cycle 240, carriage 0, op_code 11, car pos 143

cycle 241, carriage 1, op_code 11, car pos 2198
cycle 241, carriage 0, op_code 11, car pos 150

cycle 242, carriage 1, op_code 11, car pos 2198
cycle 242, carriage 0, op_code 11, car pos 150

cycle 243, carriage 1, op_code 11, car pos 2198
cycle 243, carriage 0, op_code 11, car pos 150

cycle 244, carriage 1, op_code 11, car pos 2198
cycle 244, carriage 0, op_code 11, car pos 150

cycle 245, carriage 1, op_code 11, car pos 2198
cycle 245, carriage 0, op_code 11, car pos 150

cycle 246, carriage 1, op_code 11, car pos 2198
cycle 246, carriage 0, op_code 11, car pos 150

cycle 247, carriage 1, op_code 11, car pos 2198
cycle 247, carriage 0, op_code 11, car pos 150

cycle 248, carriage 1, op_code 11, car pos 2198
cycle 248, carriage 0, op_code 11, car pos 150

cycle 249, carriage 1, op_code 11, car pos 2198
cycle 249, carriage 0, op_code 11, car pos 150

cycle 250, carriage 1, op_code 11, car pos 2198
cycle 250, carriage 0, op_code 11, car pos 150

cycle 251, carriage 1, op_code 11, car pos 2198
cycle 251, carriage 0, op_code 11, car pos 150

cycle 252, carriage 1, op_code 11, car pos 2198
cycle 252, carriage 0, op_code 11, car pos 150

cycle 253, carriage 1, op_code 11, car pos 2198
cycle 253, carriage 0, op_code 11, car pos 150

cycle 254, carriage 1, op_code 11, car pos 2198
cycle 254, carriage 0, op_code 11, car pos 150

cycle 255, carriage 1, op_code 11, car pos 2198
cycle 255, carriage 0, op_code 11, car pos 150

cycle 256, carriage 1, op_code 11, car pos 2198
cycle 256, carriage 0, op_code 11, car pos 150

cycle 257, carriage 1, op_code 11, car pos 2198
cycle 257, carriage 0, op_code 11, car pos 150

cycle 258, carriage 1, op_code 11, car pos 2198
cycle 258, carriage 0, op_code 11, car pos 150

cycle 259, carriage 1, op_code 11, car pos 2198
cycle 259, carriage 0, op_code 11, car pos 150

cycle 260, carriage 1, op_code 11, car pos 2198
cycle 260, carriage 0, op_code 11, car pos 150

cycle 261, carriage 1, op_code 11, car pos 2198
cycle 261, carriage 0, op_code 11, car pos 150

cycle 262, carriage 1, op_code 11, car pos 2198
cycle 262, carriage 0, op_code 11, car pos 150

cycle 263, carriage 1, op_code 11, car pos 2198
cycle 263, carriage 0, op_code 11, car pos 150

cycle 264, carriage 1, op_code 11, car pos 2198
cycle 264, carriage 0, op_code 11, car pos 150

cycle 265, carriage 1, op_code 11, car pos 2198
cycle 265, carriage 0, op_code 11, car pos 150

cycle 266, carriage 1, op_code 11, car pos 2205
cycle 266, carriage 0, op_code 11, car pos 157

cycle 267, carriage 1, op_code 11, car pos 2205
